npy_path,speaker,video_id,transcript
processed_grid_data/s10_bbab8n.npy,s10,bbab8n,bin blue at b eight now
processed_grid_data/s10_bbab9s.npy,s10,bbab9s,bin blue at b nine soon
processed_grid_data/s10_bbac1a.npy,s10,bbac1a,bin blue at c one again
processed_grid_data/s10_bbaczp.npy,s10,bbaczp,bin blue at c zero please
processed_grid_data/s10_bbai2n.npy,s10,bbai2n,bin blue at i two now
processed_grid_data/s10_bbai3s.npy,s10,bbai3s,bin blue at i three soon
processed_grid_data/s10_bbai4p.npy,s10,bbai4p,bin blue at i four please
processed_grid_data/s10_bbai5a.npy,s10,bbai5a,bin blue at i five again
processed_grid_data/s10_bbao6n.npy,s10,bbao6n,bin blue at o six now
processed_grid_data/s10_bbao7s.npy,s10,bbao7s,bin blue at o seven soon
processed_grid_data/s10_bbao8p.npy,s10,bbao8p,bin blue at o eight please
processed_grid_data/s10_bbao9a.npy,s10,bbao9a,bin blue at o nine again
processed_grid_data/s10_bbav1s.npy,s10,bbav1s,bin blue at v one soon
processed_grid_data/s10_bbav2p.npy,s10,bbav2p,bin blue at v two please
processed_grid_data/s10_bbav3a.npy,s10,bbav3a,bin blue at v three again
processed_grid_data/s10_bbavzn.npy,s10,bbavzn,bin blue at v zero now
processed_grid_data/s10_bbbc2n.npy,s10,bbbc2n,bin blue by c two now
processed_grid_data/s10_bbbc3s.npy,s10,bbbc3s,bin blue by c three soon
processed_grid_data/s10_bbbc4p.npy,s10,bbbc4p,bin blue by c four please
processed_grid_data/s10_bbbc5a.npy,s10,bbbc5a,bin blue by c five again
processed_grid_data/s10_bbbi6n.npy,s10,bbbi6n,bin blue by i six now
processed_grid_data/s10_bbbi7s.npy,s10,bbbi7s,bin blue by i seven soon
processed_grid_data/s10_bbbi8p.npy,s10,bbbi8p,bin blue by i eight please
processed_grid_data/s10_bbbi9a.npy,s10,bbbi9a,bin blue by i nine again
processed_grid_data/s10_bbbp1s.npy,s10,bbbp1s,bin blue by p one soon
processed_grid_data/s10_bbbp2p.npy,s10,bbbp2p,bin blue by p two please
processed_grid_data/s10_bbbp3a.npy,s10,bbbp3a,bin blue by p three again
processed_grid_data/s10_bbbpzn.npy,s10,bbbpzn,bin blue by p zero now
processed_grid_data/s10_bbbv4n.npy,s10,bbbv4n,bin blue by v four now
processed_grid_data/s10_bbbv5s.npy,s10,bbbv5s,bin blue by v five soon
processed_grid_data/s10_bbbv6p.npy,s10,bbbv6p,bin blue by v six please
processed_grid_data/s10_bbbv7a.npy,s10,bbbv7a,bin blue by v seven again
processed_grid_data/s10_bbib4n.npy,s10,bbib4n,bin blue in b four now
processed_grid_data/s10_bbib5s.npy,s10,bbib5s,bin blue in b five soon
processed_grid_data/s10_bbib6p.npy,s10,bbib6p,bin blue in b six please
processed_grid_data/s10_bbib7a.npy,s10,bbib7a,bin blue in b seven again
processed_grid_data/s10_bbih8n.npy,s10,bbih8n,bin blue in h eight now
processed_grid_data/s10_bbih9s.npy,s10,bbih9s,bin blue in h nine soon
processed_grid_data/s10_bbii1a.npy,s10,bbii1a,bin blue in i one again
processed_grid_data/s10_bbiizp.npy,s10,bbiizp,bin blue in i zero please
processed_grid_data/s10_bbio2n.npy,s10,bbio2n,bin blue in o two now
processed_grid_data/s10_bbio3s.npy,s10,bbio3s,bin blue in o three soon
processed_grid_data/s10_bbio4p.npy,s10,bbio4p,bin blue in o four please
processed_grid_data/s10_bbio5a.npy,s10,bbio5a,bin blue in o five again
processed_grid_data/s10_bbiu6n.npy,s10,bbiu6n,bin blue in u six now
processed_grid_data/s10_bbiu7s.npy,s10,bbiu7s,bin blue in u seven soon
processed_grid_data/s10_bbiu8p.npy,s10,bbiu8p,bin blue in u eight please
processed_grid_data/s10_bbiu9a.npy,s10,bbiu9a,bin blue in u nine again
processed_grid_data/s10_bbwc6n.npy,s10,bbwc6n,bin blue with c six now
processed_grid_data/s10_bbwc7s.npy,s10,bbwc7s,bin blue with c seven soon
processed_grid_data/s10_bbwc8p.npy,s10,bbwc8p,bin blue with c eight please
processed_grid_data/s10_bbwc9a.npy,s10,bbwc9a,bin blue with c nine again
processed_grid_data/s10_bbwj1s.npy,s10,bbwj1s,bin blue with j one soon
processed_grid_data/s10_bbwj2p.npy,s10,bbwj2p,bin blue with j two please
processed_grid_data/s10_bbwj3a.npy,s10,bbwj3a,bin blue with j three again
processed_grid_data/s10_bbwjzn.npy,s10,bbwjzn,bin blue with j zero now
processed_grid_data/s10_bbwp4n.npy,s10,bbwp4n,bin blue with p four now
processed_grid_data/s10_bbwp5s.npy,s10,bbwp5s,bin blue with p five soon
processed_grid_data/s10_bbwp6p.npy,s10,bbwp6p,bin blue with p six please
processed_grid_data/s10_bbwp7a.npy,s10,bbwp7a,bin blue with p seven again
processed_grid_data/s10_bbwv8n.npy,s10,bbwv8n,bin blue with v eight now
processed_grid_data/s10_bbwv9s.npy,s10,bbwv9s,bin blue with v nine soon
processed_grid_data/s10_bbwx1a.npy,s10,bbwx1a,bin blue with x one again
processed_grid_data/s10_bbwxzp.npy,s10,bbwxzp,bin blue with x zero please
processed_grid_data/s10_bgad6n.npy,s10,bgad6n,bin green at d six now
processed_grid_data/s10_bgad7s.npy,s10,bgad7s,bin green at d seven soon
processed_grid_data/s10_bgad8p.npy,s10,bgad8p,bin green at d eight please
processed_grid_data/s10_bgad9a.npy,s10,bgad9a,bin green at d nine again
processed_grid_data/s10_bgak1s.npy,s10,bgak1s,bin green at k one soon
processed_grid_data/s10_bgak2p.npy,s10,bgak2p,bin green at k two please
processed_grid_data/s10_bgak3a.npy,s10,bgak3a,bin green at k three again
processed_grid_data/s10_bgakzn.npy,s10,bgakzn,bin green at k zero now
processed_grid_data/s10_bgaq4n.npy,s10,bgaq4n,bin green at q four now
processed_grid_data/s10_bgaq5s.npy,s10,bgaq5s,bin green at q five soon
processed_grid_data/s10_bgaq6p.npy,s10,bgaq6p,bin green at q six please
processed_grid_data/s10_bgaq7a.npy,s10,bgaq7a,bin green at q seven again
processed_grid_data/s10_bgax8n.npy,s10,bgax8n,bin green at x eight now
processed_grid_data/s10_bgax9s.npy,s10,bgax9s,bin green at x nine soon
processed_grid_data/s10_bgay1a.npy,s10,bgay1a,bin green at y one again
processed_grid_data/s10_bgayzp.npy,s10,bgayzp,bin green at y zero please
processed_grid_data/s10_bgbe1s.npy,s10,bgbe1s,bin green by e one soon
processed_grid_data/s10_bgbe2p.npy,s10,bgbe2p,bin green by e two please
processed_grid_data/s10_bgbe3a.npy,s10,bgbe3a,bin green by e three again
processed_grid_data/s10_bgbezn.npy,s10,bgbezn,bin green by e zero now
processed_grid_data/s10_bgbk4n.npy,s10,bgbk4n,bin green by k four now
processed_grid_data/s10_bgbk5s.npy,s10,bgbk5s,bin green by k five soon
processed_grid_data/s10_bgbk6p.npy,s10,bgbk6p,bin green by k six please
processed_grid_data/s10_bgbk7a.npy,s10,bgbk7a,bin green by k seven again
processed_grid_data/s10_bgbq8n.npy,s10,bgbq8n,bin green by q eight now
processed_grid_data/s10_bgbq9s.npy,s10,bgbq9s,bin green by q nine soon
processed_grid_data/s10_bgbr1a.npy,s10,bgbr1a,bin green by r one again
processed_grid_data/s10_bgbrzp.npy,s10,bgbrzp,bin green by r zero please
processed_grid_data/s10_bgby2n.npy,s10,bgby2n,bin green by y two now
processed_grid_data/s10_bgby3s.npy,s10,bgby3s,bin green by y three soon
processed_grid_data/s10_bgby4p.npy,s10,bgby4p,bin green by y four please
processed_grid_data/s10_bgby5a.npy,s10,bgby5a,bin green by y five again
processed_grid_data/s10_bgid2n.npy,s10,bgid2n,bin green in d two now
processed_grid_data/s10_bgid3s.npy,s10,bgid3s,bin green in d three soon
processed_grid_data/s10_bgid4p.npy,s10,bgid4p,bin green in d four please
processed_grid_data/s10_bgid5a.npy,s10,bgid5a,bin green in d five again
processed_grid_data/s10_bgij6n.npy,s10,bgij6n,bin green in j six now
processed_grid_data/s10_bgij7s.npy,s10,bgij7s,bin green in j seven soon
processed_grid_data/s10_bgij8p.npy,s10,bgij8p,bin green in j eight please
processed_grid_data/s10_bgij9a.npy,s10,bgij9a,bin green in j nine again
processed_grid_data/s10_bgiq1s.npy,s10,bgiq1s,bin green in q one soon
processed_grid_data/s10_bgiq2p.npy,s10,bgiq2p,bin green in q two please
processed_grid_data/s10_bgiq3a.npy,s10,bgiq3a,bin green in q three again
processed_grid_data/s10_bgiqzn.npy,s10,bgiqzn,bin green in q zero now
processed_grid_data/s10_bgix4n.npy,s10,bgix4n,bin green in x four now
processed_grid_data/s10_bgix5s.npy,s10,bgix5s,bin green in x five soon
processed_grid_data/s10_bgix6p.npy,s10,bgix6p,bin green in x six please
processed_grid_data/s10_bgix7a.npy,s10,bgix7a,bin green in x seven again
processed_grid_data/s10_bgwe4n.npy,s10,bgwe4n,bin green with e four now
processed_grid_data/s10_bgwe5s.npy,s10,bgwe5s,bin green with e five soon
processed_grid_data/s10_bgwe6p.npy,s10,bgwe6p,bin green with e six please
processed_grid_data/s10_bgwe7a.npy,s10,bgwe7a,bin green with e seven again
processed_grid_data/s10_bgwk8n.npy,s10,bgwk8n,bin green with k eight now
processed_grid_data/s10_bgwk9s.npy,s10,bgwk9s,bin green with k nine soon
processed_grid_data/s10_bgwl1a.npy,s10,bgwl1a,bin green with l one again
processed_grid_data/s10_bgwlzp.npy,s10,bgwlzp,bin green with l zero please
processed_grid_data/s10_bgwr2n.npy,s10,bgwr2n,bin green with r two now
processed_grid_data/s10_bgwr3s.npy,s10,bgwr3s,bin green with r three soon
processed_grid_data/s10_bgwr4p.npy,s10,bgwr4p,bin green with r four please
processed_grid_data/s10_bgwr5a.npy,s10,bgwr5a,bin green with r five again
processed_grid_data/s10_bgwy6n.npy,s10,bgwy6n,bin green with y six now
processed_grid_data/s10_bgwy7s.npy,s10,bgwy7s,bin green with y seven soon
processed_grid_data/s10_bgwy8p.npy,s10,bgwy8p,bin green with y eight please
processed_grid_data/s10_bgwy9a.npy,s10,bgwy9a,bin green with y nine again
processed_grid_data/s10_brac4n.npy,s10,brac4n,bin red at c four now
processed_grid_data/s10_brac5s.npy,s10,brac5s,bin red at c five soon
processed_grid_data/s10_brac6p.npy,s10,brac6p,bin red at c six please
processed_grid_data/s10_brac7a.npy,s10,brac7a,bin red at c seven again
processed_grid_data/s10_brai8n.npy,s10,brai8n,bin red at i eight now
processed_grid_data/s10_brai9s.npy,s10,brai9s,bin red at i nine soon
processed_grid_data/s10_braj1a.npy,s10,braj1a,bin red at j one again
processed_grid_data/s10_brajzp.npy,s10,brajzp,bin red at j zero please
processed_grid_data/s10_brap2n.npy,s10,brap2n,bin red at p two now
processed_grid_data/s10_brap3s.npy,s10,brap3s,bin red at p three soon
processed_grid_data/s10_brap4p.npy,s10,brap4p,bin red at p four please
processed_grid_data/s10_brap5a.npy,s10,brap5a,bin red at p five again
processed_grid_data/s10_brav6n.npy,s10,brav6n,bin red at v six now
processed_grid_data/s10_brav7s.npy,s10,brav7s,bin red at v seven soon
processed_grid_data/s10_brav8p.npy,s10,brav8p,bin red at v eight please
processed_grid_data/s10_brav9a.npy,s10,brav9a,bin red at v nine again
processed_grid_data/s10_brbc8n.npy,s10,brbc8n,bin red by c eight now
processed_grid_data/s10_brbc9s.npy,s10,brbc9s,bin red by c nine soon
processed_grid_data/s10_brbd1a.npy,s10,brbd1a,bin red by d one again
processed_grid_data/s10_brbdzp.npy,s10,brbdzp,bin red by d zero please
processed_grid_data/s10_brbj2n.npy,s10,brbj2n,bin red by j two now
processed_grid_data/s10_brbj3s.npy,s10,brbj3s,bin red by j three soon
processed_grid_data/s10_brbj4p.npy,s10,brbj4p,bin red by j four please
processed_grid_data/s10_brbj5a.npy,s10,brbj5a,bin red by j five again
processed_grid_data/s10_brbp6n.npy,s10,brbp6n,bin red by p six now
processed_grid_data/s10_brbp7s.npy,s10,brbp7s,bin red by p seven soon
processed_grid_data/s10_brbp8p.npy,s10,brbp8p,bin red by p eight please
processed_grid_data/s10_brbp9a.npy,s10,brbp9a,bin red by p nine again
processed_grid_data/s10_brbx1s.npy,s10,brbx1s,bin red by x one soon
processed_grid_data/s10_brbx2p.npy,s10,brbx2p,bin red by x two please
processed_grid_data/s10_brbx3a.npy,s10,brbx3a,bin red by x three again
processed_grid_data/s10_brbxzn.npy,s10,brbxzn,bin red by x zero now
processed_grid_data/s10_bric1s.npy,s10,bric1s,bin red in c one soon
processed_grid_data/s10_bric2p.npy,s10,bric2p,bin red in c two please
processed_grid_data/s10_bric3a.npy,s10,bric3a,bin red in c three again
processed_grid_data/s10_briczn.npy,s10,briczn,bin red in c zero now
processed_grid_data/s10_brii4n.npy,s10,brii4n,bin red in i four now
processed_grid_data/s10_brii5s.npy,s10,brii5s,bin red in i five soon
processed_grid_data/s10_brii6p.npy,s10,brii6p,bin red in i six please
processed_grid_data/s10_brii7a.npy,s10,brii7a,bin red in i seven again
processed_grid_data/s10_brio8n.npy,s10,brio8n,bin red in o eight now
processed_grid_data/s10_brio9s.npy,s10,brio9s,bin red in o nine soon
processed_grid_data/s10_brip1a.npy,s10,brip1a,bin red in p one again
processed_grid_data/s10_bripzp.npy,s10,bripzp,bin red in p zero please
processed_grid_data/s10_briv2n.npy,s10,briv2n,bin red in v two now
processed_grid_data/s10_briv3s.npy,s10,briv3s,bin red in v three soon
processed_grid_data/s10_briv4p.npy,s10,briv4p,bin red in v four please
processed_grid_data/s10_briv5a.npy,s10,briv5a,bin red in v five again
processed_grid_data/s10_brwd2n.npy,s10,brwd2n,bin red with d two now
processed_grid_data/s10_brwd3s.npy,s10,brwd3s,bin red with d three soon
processed_grid_data/s10_brwd4p.npy,s10,brwd4p,bin red with d four please
processed_grid_data/s10_brwd5a.npy,s10,brwd5a,bin red with d five again
processed_grid_data/s10_brwj6n.npy,s10,brwj6n,bin red with j six now
processed_grid_data/s10_brwj7s.npy,s10,brwj7s,bin red with j seven soon
processed_grid_data/s10_brwj8p.npy,s10,brwj8p,bin red with j eight please
processed_grid_data/s10_brwj9a.npy,s10,brwj9a,bin red with j nine again
processed_grid_data/s10_brwq1s.npy,s10,brwq1s,bin red with q one soon
processed_grid_data/s10_brwq2p.npy,s10,brwq2p,bin red with q two please
processed_grid_data/s10_brwq3a.npy,s10,brwq3a,bin red with q three again
processed_grid_data/s10_brwqzn.npy,s10,brwqzn,bin red with q zero now
processed_grid_data/s10_brwx4n.npy,s10,brwx4n,bin red with x four now
processed_grid_data/s10_brwx5s.npy,s10,brwx5s,bin red with x five soon
processed_grid_data/s10_brwx6p.npy,s10,brwx6p,bin red with x six please
processed_grid_data/s10_brwx7a.npy,s10,brwx7a,bin red with x seven again
processed_grid_data/s10_bwad1s.npy,s10,bwad1s,bin white at d one soon
processed_grid_data/s10_bwad2p.npy,s10,bwad2p,bin white at d two please
processed_grid_data/s10_bwad3a.npy,s10,bwad3a,bin white at d three again
processed_grid_data/s10_bwadzn.npy,s10,bwadzn,bin white at d zero now
processed_grid_data/s10_bwaj4n.npy,s10,bwaj4n,bin white at j four now
processed_grid_data/s10_bwaj5s.npy,s10,bwaj5s,bin white at j five soon
processed_grid_data/s10_bwaj6p.npy,s10,bwaj6p,bin white at j six please
processed_grid_data/s10_bwaj7a.npy,s10,bwaj7a,bin white at j seven again
processed_grid_data/s10_bwap8n.npy,s10,bwap8n,bin white at p eight now
processed_grid_data/s10_bwap9s.npy,s10,bwap9s,bin white at p nine soon
processed_grid_data/s10_bwaq1a.npy,s10,bwaq1a,bin white at q one again
processed_grid_data/s10_bwaqzp.npy,s10,bwaqzp,bin white at q zero please
processed_grid_data/s10_bwax2n.npy,s10,bwax2n,bin white at x two now
processed_grid_data/s10_bwax3s.npy,s10,bwax3s,bin white at x three soon
processed_grid_data/s10_bwax4p.npy,s10,bwax4p,bin white at x four please
processed_grid_data/s10_bwax5a.npy,s10,bwax5a,bin white at x five again
processed_grid_data/s10_bwbd4n.npy,s10,bwbd4n,bin white by d four now
processed_grid_data/s10_bwbd5s.npy,s10,bwbd5s,bin white by d five soon
processed_grid_data/s10_bwbd6p.npy,s10,bwbd6p,bin white by d six please
processed_grid_data/s10_bwbd7a.npy,s10,bwbd7a,bin white by d seven again
processed_grid_data/s10_bwbj8n.npy,s10,bwbj8n,bin white by j eight now
processed_grid_data/s10_bwbj9s.npy,s10,bwbj9s,bin white by j nine soon
processed_grid_data/s10_bwbk1a.npy,s10,bwbk1a,bin white by k one again
processed_grid_data/s10_bwbkzp.npy,s10,bwbkzp,bin white by k zero please
processed_grid_data/s10_bwbq2n.npy,s10,bwbq2n,bin white by q two now
processed_grid_data/s10_bwbq3s.npy,s10,bwbq3s,bin white by q three soon
processed_grid_data/s10_bwbq4p.npy,s10,bwbq4p,bin white by q four please
processed_grid_data/s10_bwbq5a.npy,s10,bwbq5a,bin white by q five again
processed_grid_data/s10_bwbx6n.npy,s10,bwbx6n,bin white by x six now
processed_grid_data/s10_bwbx7s.npy,s10,bwbx7s,bin white by x seven soon
processed_grid_data/s10_bwbx8p.npy,s10,bwbx8p,bin white by x eight please
processed_grid_data/s10_bwbx9a.npy,s10,bwbx9a,bin white by x nine again
processed_grid_data/s10_bwic6n.npy,s10,bwic6n,bin white in c six now
processed_grid_data/s10_bwic7s.npy,s10,bwic7s,bin white in c seven soon
processed_grid_data/s10_bwic8p.npy,s10,bwic8p,bin white in c eight please
processed_grid_data/s10_bwic9a.npy,s10,bwic9a,bin white in c nine again
processed_grid_data/s10_bwij1s.npy,s10,bwij1s,bin white in j one soon
processed_grid_data/s10_bwij2p.npy,s10,bwij2p,bin white in j two please
processed_grid_data/s10_bwij3a.npy,s10,bwij3a,bin white in j three again
processed_grid_data/s10_bwijzn.npy,s10,bwijzn,bin white in j zero now
processed_grid_data/s10_bwip4n.npy,s10,bwip4n,bin white in p four now
processed_grid_data/s10_bwip5s.npy,s10,bwip5s,bin white in p five soon
processed_grid_data/s10_bwip6p.npy,s10,bwip6p,bin white in p six please
processed_grid_data/s10_bwip7a.npy,s10,bwip7a,bin white in p seven again
processed_grid_data/s10_bwiv8n.npy,s10,bwiv8n,bin white in v eight now
processed_grid_data/s10_bwiv9s.npy,s10,bwiv9s,bin white in v nine soon
processed_grid_data/s10_bwix1a.npy,s10,bwix1a,bin white in x one again
processed_grid_data/s10_bwixzp.npy,s10,bwixzp,bin white in x zero please
processed_grid_data/s10_bwwd8n.npy,s10,bwwd8n,bin white with d eight now
processed_grid_data/s10_bwwd9s.npy,s10,bwwd9s,bin white with d nine soon
processed_grid_data/s10_bwwe1a.npy,s10,bwwe1a,bin white with e one again
processed_grid_data/s10_bwwezp.npy,s10,bwwezp,bin white with e zero please
processed_grid_data/s10_bwwk2n.npy,s10,bwwk2n,bin white with k two now
processed_grid_data/s10_bwwk3s.npy,s10,bwwk3s,bin white with k three soon
processed_grid_data/s10_bwwk4p.npy,s10,bwwk4p,bin white with k four please
